행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101056,종로구,평창동,1 ,25 ,616 ,65 ,8 ,3 ,2 ,5 ,7 ,20 ,6 ,12 ,7 ,11 
1101056,종로구,평창동,1 ,30 ,569 ,73 ,9 ,4 ,8 ,5 ,10 ,42 ,6 ,11 ,4 ,10 
1101056,종로구,평창동,1 ,35 ,488 ,56 ,10 ,3 ,3 ,3 ,7 ,29 ,6 ,6 ,3 ,9 
1101056,종로구,평창동,1 ,40 ,674 ,50 ,7 ,3 ,3 ,3 ,8 ,18 ,5 ,5 ,5 ,5 
1101056,종로구,평창동,1 ,45 ,734 ,54 ,9 ,2 ,4 ,2 ,11 ,19 ,5 ,4 ,5 ,11 
1101056,종로구,평창동,1 ,50 ,843 ,56 ,6 ,2 ,2 ,2 ,11 ,11 ,3 ,6 ,8 ,8 
1101056,종로구,평창동,1 ,55 ,767 ,52 ,5 ,3 ,2 ,3 ,21 ,9 ,3 ,6 ,5 ,16 
1101056,종로구,평창동,1 ,60 ,537 ,38 ,3 ,2 ,1 ,1 ,3 ,6 ,2 ,3 ,2 ,6 
1101056,종로구,평창동,1 ,65 ,396 ,33 ,3 ,1 ,4 ,1 ,1 ,3 ,1 ,1 ,4 ,0 
1101056,종로구,평창동,1 ,70 ,311 ,27 ,4 ,1 ,0 ,1 ,3 ,1 ,2 ,1 ,2 ,0 
1101056,종로구,평창동,1 ,75 ,499 ,122 ,4 ,1 ,14 ,1 ,5 ,4 ,0 ,2 ,9 ,2 
1101056,종로구,평창동,2 ,20 ,606 ,63 ,4 ,2 ,4 ,2 ,3 ,14 ,3 ,2 ,0 ,6 
1101056,종로구,평창동,2 ,25 ,557 ,62 ,5 ,2 ,2 ,3 ,6 ,19 ,5 ,10 ,4 ,13 
1101056,종로구,평창동,2 ,30 ,603 ,71 ,8 ,6 ,5 ,5 ,4 ,28 ,6 ,8 ,2 ,7 
1101056,종로구,평창동,2 ,35 ,587 ,61 ,4 ,3 ,2 ,2 ,0 ,23 ,3 ,8 ,2 ,2 
1101056,종로구,평창동,2 ,40 ,805 ,58 ,5 ,4 ,2 ,3 ,6 ,15 ,3 ,7 ,3 ,8 
1101056,종로구,평창동,2 ,45 ,957 ,68 ,4 ,4 ,3 ,3 ,0 ,15 ,6 ,8 ,2 ,3 
1101056,종로구,평창동,2 ,50 ,932 ,66 ,5 ,4 ,2 ,3 ,11 ,9 ,5 ,7 ,8 ,15 
1101056,종로구,평창동,2 ,55 ,837 ,62 ,5 ,3 ,3 ,3 ,9 ,7 ,5 ,6 ,5 ,7 
1101056,종로구,평창동,2 ,60 ,593 ,48 ,3 ,5 ,2 ,4 ,2 ,3 ,5 ,4 ,2 ,3 
1101056,종로구,평창동,2 ,65 ,458 ,45 ,3 ,1 ,2 ,2 ,1 ,2 ,1 ,2 ,5 ,3 
1101056,종로구,평창동,2 ,70 ,478 ,51 ,6 ,4 ,0 ,4 ,2 ,1 ,3 ,5 ,2 ,2 
1101056,종로구,평창동,2 ,75 ,859 ,254 ,5 ,2 ,10 ,4 ,5 ,4 ,3 ,7 ,14 ,2 
1101057,종로구,무악동,1 ,20 ,226 ,26 ,4 ,3 ,3 ,1 ,0 ,4 ,2 ,1 ,2 ,0 
1101057,종로구,무악동,1 ,25 ,193 ,20 ,2 ,3 ,1 ,2 ,5 ,5 ,2 ,3 ,1 ,0 
1101057,종로구,무악동,1 ,30 ,232 ,36 ,5 ,3 ,7 ,3 ,12 ,17 ,4 ,2 ,1 ,8 
1101057,종로구,무악동,1 ,35 ,248 ,34 ,3 ,2 ,5 ,2 ,3 ,17 ,3 ,1 ,1 ,0 
1101057,종로구,무악동,1 ,40 ,398 ,30 ,4 ,2 ,5 ,2 ,7 ,11 ,2 ,2 ,5 ,4 
1101057,종로구,무악동,1 ,45 ,402 ,27 ,4 ,2 ,2 ,1 ,2 ,10 ,2 ,2 ,2 ,2 
1101057,종로구,무악동,1 ,50 ,343 ,30 ,3 ,1 ,3 ,1 ,8 ,5 ,2 ,2 ,5 ,0 
1101057,종로구,무악동,1 ,55 ,297 ,29 ,2 ,1 ,2 ,1 ,3 ,3 ,1 ,1 ,3 ,0 
1101057,종로구,무악동,1 ,60 ,201 ,21 ,2 ,0 ,2 ,1 ,0 ,2 ,2 ,1 ,1 ,0 
